_ID,_X,_Y
1,,
1,2642180.615600001,-630132.4946000017
1,2642480.917300001,-630570.4923
1,2642454.9388,-630642.3586000018
1,2642018.932500001,-631848.5144999996
1,2642171.458000001,-632870.9244000018
1,2641714.610599998,-634156.8238999993
1,2641172.908799999,-635681.5648999997
1,2640678.5132,-636646.4814999998
1,2640531.7271,-636932.9653000012
1,2640046.359999999,-637067.4840000011
1,2639611.105300002,-637187.5177999996
1,2639431.892200001,-637826.5800999999
1,2639609.983199999,-638388.9719000012
1,2640353.656800002,-638728.7155000009
1,2640611.0132,-638441.6446999982
1,2641106.311700001,-638467.4094999991
1,2641604.4289,-638493.3209999986
1,2641767.070999999,-638396.0951999985
1,2641794.686299998,-638379.5872999989
1,2641988.350699998,-638263.8165999986
1,2642346.127099998,-638340.9395000003
1,2642490.070999999,-638549.9739000015
1,2642596.598700002,-638704.683699999
1,2642856.975499999,-639082.8280000016
1,2643370.685400002,-639346.5995999984
1,2643441.785900001,-639383.1070000008
1,2643904.858899999,-639620.8775999993
1,2643959.337400001,-639622.3055000007
1,2644927.529300001,-639647.682500001
1,2645068.2828,-639887.2272000015
1,2645093.611499999,-639930.3330000006
1,2645183.009500001,-640082.4787000008
1,2645566.405699998,-640185.1732000001
1,2646048.101300001,-639409.2159000002
1,2646139.023499999,-639262.7507000007
1,2646232.2936,-639112.502700001
1,2647051.066199999,-638448.8590000011
1,2647089.1677,-638378.2105999999
1,2647116.625999998,-638327.2971000001
1,2647230.163100001,-638116.7787999995
1,2647818.377700001,-638219.6915000007
1,2649046.674600001,-637096.4873000011
1,2650172.028200001,-636688.8282000013
1,2650349.726399999,-636563.2879000008
1,2650493.761300001,-636461.5300000012
1,2650786.057599999,-636255.0284000002
1,2651720.486699998,-636046.4290999994
1,2652039.165300001,-635975.3016000018
1,2652533.931299999,-635988.2001999989
1,2653061.995900001,-636001.9670000002
1,2654237.6406,-636693.3720999993
1,2654774.561299998,-636703.376600001
1,2654735.3627,-636751.4035999999
1,2654544.893599998,-636984.7575000003
1,2654315.223700002,-637266.1185000017
1,2654277.352800001,-637585.5243999995
1,2654239.481899999,-637904.9303000011
1,2654048.1237,-637943.4934
1,2653856.725499999,-637982.0564000011
1,2653690.855,-638161.1207000017
1,2653524.984499998,-638340.1849000007
1,2653508.313299999,-638621.2668999992
1,2653491.682100002,-638902.3487999998
1,2653475.010899998,-639183.4307999983
1,2653309.020199999,-639247.5033
1,2653142.989399999,-639311.5559
1,2652964.495299999,-639575.8376000002
1,2652786.0013,-639840.1191999987
1,2652607.507100001,-640104.3808999993
1,2652535.732799999,-640418.5254999995
1,2652463.998500001,-640732.6301999986
1,2652392.224100001,-641046.754900001
1,2652320.4899,-641360.8795999996
1,2652251.480700001,-641663.4453000017
1,2652320.169300001,-641910.4083999991
1,2652388.8178,-642157.3317000009
1,2652457.508699998,-642404.2525999993
1,2652713.265099999,-642301.7589000017
1,2652968.9837,-642199.242899999
1,2653224.742400002,-642096.7468000017
1,2653480.501200002,-641994.2507000007
1,2653592.994199999,-641613.1667000018
1,2654718.779100001,-642242.0907000005
1,2655764.8994,-642520.5022
